date,confirmed,death,released,tested,negative,critical,today
2020-01-20,0,0,0,0,0,0,0
2020-01-21,1,0,0,1,0,0,1
2020-01-22,1,0,0,1,0,0,0
2020-01-23,1,0,0,1,0,0,0
2020-01-24,2,0,0,2,0,0,1
2020-01-25,2,0,0,2,0,0,0
2020-01-26,2,0,0,2,0,0,0
2020-01-27,4,0,0,61,57,0,2
2020-01-28,4,0,0,61,57,0,0
2020-01-29,4,0,0,187,183,0,0
2020-01-30,7,0,0,247,240,0,3
2020-01-31,11,0,0,309,240,0,4
2020-02-01,12,0,0,383,289,0,1
2020-02-02,15,0,0,429,327,0,3
2020-02-03,15,0,0,490,414,0,0
2020-02-04,16,0,0,607,462,0,1
2020-02-05,21,0,1,717,522,0,5
2020-02-06,24,0,2,886,693,0,3
2020-02-07,24,0,2,1352,1001,0,0
2020-02-08,24,0,2,2097,1134,0,0
2020-02-09,27,0,3,2598,1683,0,3
2020-02-10,27,0,4,3110,2552,0,0
2020-02-11,28,0,4,4325,3535,0,1
2020-02-12,28,0,7,5624,4811,0,0
2020-02-13,28,0,7,6511,5921,0,0
2020-02-14,28,0,7,7242,6679,0,0
2020-02-15,28,0,9,7519,6853,0,0
2020-02-16,29,0,9,8161,7647,0,1
2020-02-17,30,0,10,8718,7980,0,1
2020-02-18,39,0,12,9780,8923,0,9
2020-02-19,46,0,16,11168,9973,0,7
2020-02-20,104,1,16,13202,11238,0,58
2020-02-21,204,1,17,16400,13016,0,100
2020-02-22,433,3,18,21586,15116,0,229
2020-02-23,608,6,18,22685,16038,0,175
2020-02-24,843,7,22,32766,20292,0,235
2020-02-25,977,10,22,36800,22550,0,134
2020-02-26,1261,12,24,53553,31576,0,284
2020-02-27,1766,13,26,66652,39318,0,505
2020-02-28,2337,13,27,81167,48593,0,571
2020-02-29,3150,17,28,94055,55723,0,813
2020-03-01,3736,18,30,98921,61825,0,586
2020-03-02,4212,22,31,109591,71580,0,476
2020-03-03,4812,28,34,125851,85484,0,600
2020-03-04,5328,32,41,136707,102965,0,516
2020-03-05,5766,35,88,146541,118965,0,438
2020-03-06,6284,44,108,164740,136624,0,518
2020-03-07,6767,44,118,178189,151802,0,483
2020-03-08,7134,50,130,188518,162008,0,367
2020-03-09,7382,51,166,196618,171778,0,248
2020-03-10,7513,54,247,210144,184179,0,131
2020-03-11,7755,60,288,222395,196100,0,242
2020-03-12,7869,66,333,234998,209402,0,114
2020-03-13,7979,67,510,248647,222728,0,110
2020-03-14,8086,72,714,261335,235615,0,107
2020-03-15,8162,75,834,268212,243778,0,76
2020-03-16,8236,75,1137,274504,251297,0,74
2020-03-17,8320,81,1401,286716,261105,0,84
2020-03-18,8413,84,1540,295647,270888,0,93
2020-03-19,8565,91,1947,307024,282555,0,152
2020-03-20,8652,94,2233,316664,292487,0,87
2020-03-21,8799,102,2612,327509,303006,0,147
2020-03-22,8897,104,2909,331780,308343,0,98
2020-03-23,8961,111,3166,338036,315447,0,64
2020-03-24,9037,120,3507,348582,324105,0,76
2020-03-25,9137,126,3730,357896,334481,0,100
2020-03-26,9241,131,4144,364942,341332,0,104
2020-03-27,9332,139,4528,376961,352410,0,91
2020-03-28,9478,144,4811,387925,361883,0,146
2020-03-29,9583,152,5033,394141,369530,0,105
2020-03-30,9661,158,5228,395194,372002,0,78
2020-03-31,9786,162,5408,410564,383886,0,125
2020-04-01,9887,165,5567,421547,395075,0,101
2020-04-02,9976,169,5828,431743,403882,0,89
2020-04-03,10062,174,6021,443273,414303,0,86
2020-04-04,10156,177,6325,455032,424732,0,94
2020-04-05,10237,183,6463,461233,431425,0,81
2020-04-06,10284,186,6598,466804,437225,0,47
2020-04-07,10331,192,6694,477304,446323,0,47
2020-04-08,10384,200,6776,486003,457761,0,53
2020-04-09,10423,204,6973,494711,468779,0,39
2020-04-10,10450,208,7117,503051,477303,0,27
2020-04-11,10480,211,7243,510479,485929,0,30
2020-04-12,10512,214,7368,514621,490321,0,32
2020-04-13,10537,217,7447,518743,494815,0,25
2020-04-14,10564,222,7534,527438,502223,0,27
2020-04-15,10591,225,7616,534552,508935,0,27
2020-04-16,10613,229,7757,538775,513894,0,22
2020-04-17,10635,230,7829,546463,521642,0,22
2020-04-18,10653,232,7937,554834,530631,0,18
2020-04-19,10661,234,8042,559109,536205,0,8
2020-04-20,10674,236,8114,563035,540380,0,13
2020-04-21,10683,237,8213,571014,547610,0,9
2020-04-22,10694,238,8277,577959,555144,0,11
2020-04-23,10702,240,8411,583971,563130,0,8
2020-04-24,10708,240,8501,589520,569212,0,6
2020-04-25,10718,240,8635,595161,575184,0,10
2020-04-26,10728,242,8717,598285,578558,0,10
2020-04-27,10738,243,8764,601660,582027,0,10
2020-04-28,10752,244,8854,608514,588559,0,14
2020-04-29,10761,246,8922,614197,595129,0,9
2020-04-30,10765,247,9059,619881,600482,0,4
2020-05-01,10774,248,9072,623069,603610,0,9
2020-05-02,10780,250,9123,627562,608286,0,6
2020-05-03,10793,250,9183,630973,611592,0,13
2020-05-04,10801,252,9217,633921,614944,0,8
2020-05-05,10804,254,9283,640237,620575,0,3
2020-05-06,10806,255,9333,643095,624280,0,2
2020-05-07,10810,256,9419,649388,630149,0,4
2020-05-08,10822,256,9484,654863,635174,0,12
2020-05-09,10840,256,9568,660030,640037,0,18
2020-05-10,10874,256,9610,663886,642884,0,34
2020-05-11,10909,256,9632,668492,646661,0,35
2020-05-12,10936,258,9670,680890,653624,0,27
2020-05-13,10962,259,9695,695920,665379,0,26
2020-05-14,10991,260,9762,711484,679771,0,29
2020-05-15,11018,260,9821,726747,695854,0,27
2020-05-16,11037,262,9851,741145,711265,0,19
2020-05-17,11050,262,9888,747653,718943,0,13
2020-05-18,11065,263,9904,753211,726053,0,15
2020-05-19,11078,263,9938,765574,737571,0,13
2020-05-20,11110,263,10066,776433,748972,0,32
2020-05-21,11122,264,10135,788684,759473,0,12
2020-05-22,11142,264,10162,802418,770990,0,20
2020-05-23,11165,266,10194,814420,781686,0,23
2020-05-24,11190,266,10213,820289,788766,0,25
2020-05-25,11206,267,10226,826437,796142,0,16
2020-05-26,11225,269,10275,839475,806206,0,19
2020-05-27,11265,269,10295,852876,820550,0,40
2020-05-28,11344,269,10340,868666,834952,0,79
2020-05-29,11402,269,10363,885120,849161,0,58
2020-05-30,11441,269,10398,902901,865162,0,39
2020-05-31,11468,270,10405,910822,876060,0,27
2020-06-01,11503,271,10422,921391,885830,0,35
2020-06-02,11541,272,10446,939851,899388,0,38
2020-06-03,11590,273,10467,956852,917397,0,49
2020-06-04,11629,273,10499,973858,934030,0,39
2020-06-05,11668,273,10506,990960,950526,0,39
2020-06-06,11719,273,10531,1005305,965632,0,51
2020-06-07,11776,273,10552,1012769,974512,0,57
2020-06-08,11814,273,10563,1018214,982026,0,38
2020-06-09,11852,274,10589,1035997,996686,0,38
2020-06-10,11902,276,10611,1051972,1013847,0,50
2020-06-11,11947,276,10654,1066888,1029447,0,45
2020-06-12,12003,277,10669,1081487,1045240,0,56
2020-06-13,12051,277,10691,1094704,1059301,0,48
2020-06-14,12084,277,10718,1100327,1066887,0,33
2020-06-15,12121,277,10730,1105719,1072805,0,37
2020-06-16,12155,278,10760,1119767,1084980,0,34
2020-06-17,12198,279,10774,1132823,1099136,0,43
2020-06-18,12257,280,10800,1145712,1111741,0,59
2020-06-19,12306,280,10835,1158063,1124567,0,49
2020-06-20,12373,280,10856,1170901,1137058,0,67
2020-06-21,12421,280,10868,1176463,1143971,0,48
2020-06-22,12438,280,10881,1182066,1150225,0,17
2020-06-23,12484,281,10908,1196012,1161250,0,46
2020-06-24,12535,281,10930,1208597,1175817,0,51
2020-06-25,12563,282,10974,1220478,1189015,0,28
2020-06-26,12602,282,11172,1232315,1200885,0,39
2020-06-27,12653,282,11317,1243780,1211261,0,51
2020-06-28,12715,282,11364,1251695,1219975,0,62
2020-06-29,12757,282,11429,1259954,1228698,0,42
2020-06-30,12799,282,11537,1273765,1240157,0,42
2020-07-01,12850,282,11613,1285231,1252855,0,51
2020-07-02,12904,282,11684,1295962,1263276,0,54
2020-07-03,12967,282,11759,1307761,1273234,0,63
2020-07-04,13030,283,11811,1319523,1284172,0,63
2020-07-05,13091,283,11832,1326055,1291315,0,61
2020-07-06,13137,284,11848,1331796,1297367,0,46
2020-07-07,13181,285,11914,1346194,1309338,0,44
2020-07-08,13243,285,11970,1359734,1322479,0,62
2020-07-09,13293,287,12019,1371771,1334566,0,50
2020-07-10,13338,288,12065,1384890,1348025,0,45
2020-07-11,13373,288,12144,1396941,1360618,0,35
2020-07-12,13417,289,12178,1402144,1366897,0,44
2020-07-13,13479,289,12204,1408312,1372988,0,62
2020-07-14,13512,289,12282,1420616,1382815,0,33
2020-07-15,13551,289,12348,1431316,1394468,0,39
2020-07-16,13612,291,12396,1441348,1404332,0,61
2020-07-17,13672,293,12460,1451017,1414235,0,60
2020-07-18,13711,294,12519,1460204,1423570,0,39
2020-07-19,13745,295,12556,1465299,1429601,0,34
2020-07-20,13771,296,12572,1470193,1435120,19,26
2020-07-21,13816,296,12643,1482390,1444710,21,45
2020-07-22,13879,297,12698,1492071,1456441,21,63
2020-07-23,13938,297,12758,1500854,1465498,18,59
2020-07-24,13979,298,12817,1510327,1475789,16,41
2020-07-25,14092,298,12866,1518634,1484861,15,113
2020-07-26,14150,298,12890,1522926,1489562,15,58
2020-07-27,14175,299,12905,1526974,1494029,14,25
2020-07-28,14203,300,13007,1537704,1503057,12,28
2020-07-29,14251,300,13069,1547307,1513730,12,48
2020-07-30,14269,300,13132,1556215,1522928,13,18
2020-07-31,14305,301,13183,1563796,1531161,12,36
2020-08-01,14336,301,13233,1571830,1539216,13,31
2020-08-02,14366,301,13259,1576246,1544112,13,30
2020-08-03,14389,301,13280,1579757,1547967,13,23
2020-08-04,14423,301,13352,1589780,1556633,13,34
2020-08-05,14456,302,13406,1598187,1565241,14,33
2020-08-06,14499,302,13501,1606487,1573957,18,43
2020-08-07,14519,303,13543,1613652,1582065,18,20
2020-08-08,14562,304,13629,1620514,1589847,16,43
2020-08-09,14598,305,13642,1624650,1593249,16,36
2020-08-10,14626,305,13658,1628303,1597281,16,28
2020-08-11,14660,305,13729,1637844,1605695,15,34
2020-08-12,14714,305,13786,1646652,1614563,15,54
2020-08-13,14770,305,13817,1654898,1622330,15,56
2020-08-14,14873,305,13863,1665084,1630079,14,103
2020-08-15,15039,305,13901,1675296,1638639,14,166
2020-08-16,15318,305,13910,1681787,1644464,13,279
2020-08-17,15515,305,13917,1688470,1649991,13,197
2020-08-18,15761,306,13934,1697042,1656062,9,246
2020-08-19,16058,306,14006,1715064,1667984,12,297
2020-08-20,16346,307,14063,1734083,1682739,12,288
2020-08-21,16670,309,14120,1754123,1699408,18,324
2020-08-22,17002,309,14169,1775800,1716371,25,332
2020-08-23,17399,309,14200,1791186,1726223,30,397
2020-08-24,17665,309,14219,1804422,1738762,32,266
2020-08-25,17945,310,14286,1825837,1757530,38,280
2020-08-26,18265,312,14368,1849506,1778446,42,320
2020-08-27,18706,313,14461,1869579,1798832,46,441
2020-08-28,19077,316,14551,1887717,1817929,58,371
2020-08-29,19400,321,14765,1909329,1835883,64,323
2020-08-30,19699,323,14903,1924170,1846450,70,299
2020-08-31,19947,324,14973,1937689,1859866,79,248
2020-09-01,20182,324,15198,1959080,1882155,104,235
2020-09-02,20449,326,15356,1980295,1903098,123,267
2020-09-03,20644,329,15529,2000552,1924384,154,195
2020-09-04,20842,331,15783,2018906,1945798,157,198
2020-09-05,21010,333,16009,2037045,1963958,159,168
2020-09-06,21177,334,16146,2045935,1975137,163,167
2020-09-07,21296,336,16297,2051297,1982892,162,119
2020-09-08,21432,341,16636,2066078,2001276,150,136
2020-09-09,21588,344,17023,2082234,2024113,154,156
2020-09-10,21743,346,17360,2099591,2044830,169,155
2020-09-11,21919,350,17616,2119211,2067869,175,176
2020-09-12,22055,355,18029,2135457,2085576,164,136
2020-09-13,22176,358,18226,2143270,2093389,157,121
2020-09-14,22285,363,18489,2151002,2101241,157,109
2020-09-15,22391,367,18878,2164578,2114877,158,106
2020-09-16,22504,367,19310,2178832,2130486,160,113
2020-09-17,22657,372,19543,2191892,2143727,160,153
2020-09-18,22783,377,19771,2206365,2158179,150,126
2020-09-19,22893,378,19970,2219162,2171564,152,110
2020-09-20,22975,383,20158,2226701,2179452,146,82
2020-09-21,23045,385,20248,2231589,2186008,141,70
2020-09-22,23106,388,20441,2245112,2198784,144,61
2020-09-23,23216,388,20650,2256899,2213156,139,110
2020-09-24,23341,393,20832,2268999,2224876,126,125
2020-09-25,23455,395,20978,2280276,2237246,128,114
2020-09-26,23516,399,21166,2290345,2248321,122,61
2020-09-27,23611,401,21248,2296517,2254028,124,95
2020-09-28,23661,406,21292,2301303,2259055,120,50
2020-09-29,23699,407,21470,2313044,2269289,115,38
2020-09-30,23812,413,21590,2322999,2278591,109,113
2020-10-01,23889,415,21666,2328435,2284517,107,77
2020-10-02,23952,416,21733,2333777,2289830,107,63
2020-10-03,24027,420,21787,2339859,2294545,104,75
2020-10-04,24091,421,21845,2346345,2300138,105,64
2020-10-05,24164,422,21886,2352378,2305767,107,73
2020-10-06,24239,422,22083,2365433,2318457,105,75
2020-10-07,24353,425,22334,2378073,2331582,102,114
2020-10-08,24422,427,22463,2388844,2343444,97,69
2020-10-09,24476,428,22569,2400233,2355058,94,54
2020-10-10,24548,430,22624,2404684,2361154,89,72
2020-10-11,24606,432,22693,2410483,2366574,89,58
2020-10-12,24703,433,22729,2415610,2371715,87,97
2020-10-13,24794,434,22863,2428760,2383842,91,91
2020-10-14,24878,438,23030,2441443,2398169,85,84
2020-10-15,24988,439,23082,2450739,2407489,82,110
2020-10-16,25035,441,23180,2459426,2417036,85,47
2020-10-17,25108,443,23258,2468527,2426101,84,73
2020-10-18,25199,444,23312,2474529,2431549,77,91
2020-10-19,25275,444,23368,2479226,2437188,78,76
2020-10-20,25333,447,23466,2491311,2446599,71,58
2020-10-21,25424,450,23584,2503491,2458574,70,91
2020-10-22,25543,453,23647,2515325,2469969,62,119
2020-10-23,25698,455,23717,2528621,2482493,62,155
2020-10-24,25775,457,23834,2540679,2493016,60,77
2020-10-25,25836,457,23869,2546146,2498628,53,61
2020-10-26,25955,457,23905,2552264,2505546,53,119
2020-10-27,26043,460,23981,2567587,2518541,52,88
2020-10-28,26146,461,24073,2582960,2533910,52,103
2020-10-29,26271,462,24168,2597978,2545559,53,125
2020-10-30,26385,463,24227,2612231,2559473,51,114
2020-10-31,26511,464,24311,2624492,2572303,54,126
2020-11-01,26635,466,24357,2630630,2579157,51,124
2020-11-02,26732,468,24395,2636650,2584394,49,97
2020-11-03,26807,472,24510,2649859,2597237,52,75
2020-11-04,26924,474,24616,2662259,2611080,53,117
2020-11-05,27049,475,24735,2673705,2621594,51,125
2020-11-06,27194,476,24821,2686313,2633490,50,145
2020-11-07,27283,477,24910,2697248,2643748,53,89
2020-11-08,27426,478,24968,2702879,2649805,58,143
